Node ID	No Taxa	Original BL	No different from original	Pct time scaled	Mean Scalar	Mode Scalar	Median Scalar	SD Scalar	Mean SigV	Mode SigV	Median SigV	SD SigV	Mean DeltaB	Mode DeltaB	Median DeltaB	SD DeltaB	Mean DeltaV	Mode DeltaV	Median DeltaV	SD DeltaV	Taxa List	
10	4	8.648075	5282	52.820000	1.503917	1.017569	1.000000	1.393905	0.020722	0.014979	0.016917	0.018722	0.122617	0.129040	0.123568	0.027997	0.179208	0.129539	0.146299	0.161906	Egernia_cygnitos,Egernia_depressa,Egernia_eos,Egernia_epsisolus	
11	2	2.402650	6103	61.030000	2.048595	0.991439	1.194551	3.047917	0.028439	0.015895	0.018120	0.042677	0.034066	0.035851	0.034330	0.007778	0.068330	0.038190	0.043536	0.102537	Egernia_depressa,Egernia_eos	
12	1	1.981100	7841	78.410000	4.990484	1.287254	2.151310	6.755071	0.067850	0.018506	0.029020	0.091935	0.028089	0.029561	0.028307	0.006413	0.134419	0.036662	0.057491	0.182132	Egernia_depressa	
13	1	1.981100	5849	58.490000	1.598977	0.995850	1.071282	1.321342	0.022004	0.015590	0.017629	0.017715	0.028089	0.029561	0.028307	0.006413	0.043592	0.030886	0.034926	0.035094	Egernia_eos	
14	2	1.403350	5573	55.730000	1.810592	1.002148	1.000000	3.007037	0.025121	0.015598	0.017114	0.042766	0.019897	0.020940	0.020052	0.004543	0.035253	0.021889	0.024017	0.060016	Egernia_cygnitos,Egernia_epsisolus	
15	1	2.980400	5365	53.650000	1.399844	1.007714	1.000000	0.841563	0.019330	0.015176	0.016783	0.011693	0.042258	0.044471	0.042585	0.009648	0.057610	0.045230	0.050020	0.034851	Egernia_cygnitos	
16	1	2.980400	5387	53.870000	1.417488	0.998851	1.000000	1.003438	0.019532	0.015375	0.016832	0.012847	0.042258	0.044471	0.042585	0.009648	0.058214	0.045825	0.050168	0.038288	Egernia_epsisolus	
17	2	4.829825	4472	44.720000	1.200407	1.008565	1.000000	0.698470	0.016558	0.014822	0.015355	0.009380	0.068480	0.072067	0.069011	0.015636	0.079973	0.071586	0.074160	0.045304	Egernia_formosa,Egernia_pilbarensis	
18	1	8.202000	4475	44.750000	1.219755	0.998342	1.000000	0.833601	0.016822	0.014763	0.015390	0.011049	0.116292	0.122384	0.117194	0.026552	0.137974	0.121089	0.126233	0.090625	Egernia_pilbarensis	
19	1	8.202000	4459	44.590000	1.179083	1.004701	1.000000	0.544708	0.016278	0.014658	0.015333	0.007593	0.116292	0.122384	0.117194	0.026552	0.133514	0.120224	0.125765	0.062280	Egernia_formosa	
20	3	2.300017	4090	40.900000	1.253861	0.976926	1.000000	1.191785	0.017368	0.015003	0.015487	0.017278	0.032611	0.034319	0.032864	0.007446	0.039946	0.034506	0.035621	0.039739	Egernia_kingii,Egernia_napoleonis,Egernia_richardi	
21	2	2.037400	4359	43.590000	1.363595	0.991409	1.000000	1.587308	0.018788	0.014687	0.015562	0.021565	0.028887	0.030401	0.029111	0.006596	0.038279	0.029924	0.031706	0.043936	Egernia_napoleonis,Egernia_richardi	
22	1	10.277300	4367	43.670000	1.301094	1.005505	1.000000	1.028089	0.017935	0.014814	0.015634	0.014032	0.145717	0.153351	0.146847	0.033271	0.184325	0.152246	0.160670	0.144216	Egernia_napoleonis	
