Node ID	No Taxa	Original BL	No different from original	Pct time scaled	Mean Scalar	Mode Scalar	Median Scalar	SD Scalar	Mean SigV	Mode SigV	Median SigV	SD SigV	Mean DeltaB	Mode DeltaB	Median DeltaB	SD DeltaB	Mean DeltaV	Mode DeltaV	Median DeltaV	SD DeltaV	Taxa List	
10	4	8.648075	2933	58.660000	0.848206	0.998245	1.000000	0.626259	0.000864	0.000750	0.000800	0.000480	0.014751	0.006735	0.008423	0.021982	0.007474	0.006488	0.006918	0.004148	Egernia_cygnitos,Egernia_depressa,Egernia_eos,Egernia_epsisolus	
11	2	2.402650	3426	68.520000	2.089383	0.967039	1.000000	4.022155	0.002042	0.000768	0.000940	0.003355	0.004098	0.001871	0.002340	0.006107	0.004907	0.001844	0.002258	0.008060	Egernia_depressa,Egernia_eos	
12	1	1.981100	3247	64.940000	1.276525	0.993967	1.000000	1.977554	0.001268	0.000761	0.000871	0.001697	0.003379	0.001543	0.001930	0.005036	0.002513	0.001508	0.001726	0.003361	Egernia_depressa	
13	1	1.981100	3125	62.500000	0.927139	1.012094	1.000000	0.728855	0.000936	0.000764	0.000832	0.000520	0.003379	0.001543	0.001930	0.005036	0.001854	0.001514	0.001649	0.001030	Egernia_eos	
14	2	1.403350	3228	64.560000	1.564299	0.978671	1.000000	3.164250	0.001557	0.000768	0.000845	0.002782	0.002394	0.001093	0.001367	0.003567	0.002185	0.001078	0.001186	0.003904	Egernia_cygnitos,Egernia_epsisolus	
15	1	2.980400	3033	60.660000	0.868701	0.994918	1.000000	0.749636	0.000890	0.000745	0.000803	0.000680	0.005084	0.002321	0.002903	0.007576	0.002653	0.002220	0.002394	0.002027	Egernia_cygnitos	
16	1	2.980400	3030	60.600000	0.873661	1.002319	1.000000	0.847716	0.000886	0.000747	0.000803	0.000640	0.005084	0.002321	0.002903	0.007576	0.002642	0.002226	0.002393	0.001907	Egernia_epsisolus	
17	2	4.829825	3075	61.500000	0.780800	1.000110	0.949057	0.586107	0.000793	0.000720	0.000754	0.000507	0.008238	0.003761	0.004704	0.012277	0.003828	0.003478	0.003643	0.002449	Egernia_formosa,Egernia_pilbarensis	
18	1	8.202000	3062	61.240000	0.759473	1.002925	0.931451	0.479322	0.000771	0.000717	0.000751	0.000356	0.013990	0.006387	0.007989	0.020848	0.006327	0.005881	0.006163	0.002923	Egernia_pilbarensis	
19	1	8.202000	3061	61.220000	0.761544	0.995203	0.926022	0.524651	0.000773	0.000723	0.000751	0.000378	0.013990	0.006387	0.007989	0.020848	0.006338	0.005934	0.006160	0.003101	Egernia_formosa	
20	3	2.300017	2796	55.920000	0.925464	0.983165	1.000000	1.267150	0.000947	0.000767	0.000793	0.001347	0.003923	0.001791	0.002240	0.005846	0.002177	0.001765	0.001824	0.003097	Egernia_kingii,Egernia_napoleonis,Egernia_richardi	
