Node ID	No Taxa	Original BL	No different from original	Pct time scaled	Mean Scalar	Mode Scalar	Median Scalar	SD Scalar	Mean SigV	Mode SigV	Median SigV	SD SigV	Mean DeltaB	Mode DeltaB	Median DeltaB	SD DeltaB	Mean DeltaV	Mode DeltaV	Median DeltaV	SD DeltaV	Taxa List	
10	4	8.648075	3327	66.540000	1.801959	0.990096	1.000000	2.460506	0.001233	0.000636	0.000820	0.001446	0.006825	0.004939	0.006028	0.002878	0.010662	0.005502	0.007091	0.012504	Egernia_cygnitos,Egernia_depressa,Egernia_eos,Egernia_epsisolus	
11	2	2.402650	3238	64.760000	1.227764	1.005667	1.000000	0.809791	0.000882	0.000600	0.000746	0.000547	0.001896	0.001372	0.001675	0.000800	0.002119	0.001442	0.001793	0.001315	Egernia_depressa,Egernia_eos	
12	1	1.981100	4394	87.880000	5.213428	1.284263	2.671835	6.075482	0.003592	0.000973	0.001932	0.004049	0.001564	0.001131	0.001381	0.000659	0.007117	0.001927	0.003828	0.008022	Egernia_depressa	
13	1	1.981100	3321	66.420000	1.447305	0.999097	1.000000	1.726768	0.001014	0.000615	0.000775	0.001026	0.001564	0.001131	0.001381	0.000659	0.002010	0.001219	0.001536	0.002032	Egernia_eos	
14	2	1.403350	3532	70.640000	3.039171	0.967989	1.000000	5.444620	0.002112	0.000624	0.000868	0.003538	0.001108	0.000801	0.000978	0.000467	0.002964	0.000876	0.001218	0.004966	Egernia_cygnitos,Egernia_epsisolus	
15	1	2.980400	3143	62.860000	1.159386	1.000443	1.000000	0.623522	0.000832	0.000599	0.000725	0.000413	0.002352	0.001702	0.002077	0.000992	0.002480	0.001785	0.002161	0.001231	Egernia_cygnitos	
16	1	2.980400	3147	62.940000	1.203923	1.002332	1.000000	0.959591	0.000861	0.000597	0.000733	0.000580	0.002352	0.001702	0.002077	0.000992	0.002566	0.001780	0.002184	0.001727	Egernia_epsisolus	
17	2	4.829825	2647	52.940000	0.998214	0.999792	1.000000	0.500141	0.000724	0.000568	0.000662	0.000420	0.003812	0.002758	0.003366	0.001607	0.003495	0.002744	0.003197	0.002026	Egernia_formosa,Egernia_pilbarensis	
18	1	8.202000	2664	53.280000	1.055699	1.007217	1.000000	0.915700	0.000758	0.000583	0.000668	0.000567	0.006473	0.004684	0.005717	0.002730	0.006218	0.004778	0.005483	0.004653	Egernia_pilbarensis	
19	1	8.202000	2630	52.600000	0.986482	0.996977	1.000000	0.407770	0.000714	0.000574	0.000660	0.000281	0.006473	0.004684	0.005717	0.002730	0.005854	0.004711	0.005415	0.002304	Egernia_formosa	
20	3	2.300017	2521	50.420000	1.298798	0.973005	1.000000	2.113950	0.000963	0.000568	0.000656	0.001602	0.001815	0.001313	0.001603	0.000765	0.002214	0.001306	0.001509	0.003685	Egernia_kingii,Egernia_napoleonis,Egernia_richardi	
21	2	2.037400	2585	51.700000	1.123286	1.003714	1.000000	1.408776	0.000816	0.000557	0.000652	0.001005	0.001608	0.001164	0.001420	0.000678	0.001662	0.001135	0.001328	0.002047	Egernia_napoleonis,Egernia_richardi	
22	1	10.277300	2509	50.180000	0.970234	1.003431	1.000000	0.432628	0.000704	0.000567	0.000645	0.000324	0.008111	0.005869	0.007163	0.003420	0.007232	0.005830	0.006629	0.003335	Egernia_napoleonis	
23	1	10.277300	2506	50.120000	0.966616	1.001564	1.000000	0.422322	0.000699	0.000573	0.000645	0.000300	0.008111	0.005869	0.007163	0.003420	0.007187	0.005889	0.006627	0.003088	Egernia_richardi	
24	1	12.314700	2406	48.120000	0.937417	0.998497	1.000000	0.343814	0.000680	0.000562	0.000637	0.000243	0.009719	0.007033	0.008583	0.004098	0.008369	0.006915	0.007843	0.002987	Egernia_kingii	
25	1	15.464111	2240	44.800000	1.025937	0.999089	1.000000	0.752378	0.000749	0.000560	0.000647	0.000588	0.012205	0.008831	0.010778	0.005146	0.011582	0.008659	0.010005	0.009088	Egernia_douglasi	
26	8	0.525737	2203	44.060000	1.058303	0.995984	1.000000	1.411746	0.000771	0.000552	0.000635	0.001000	0.000415	0.000300	0.000366	0.000175	0.000405	0.000290	0.000334	0.000525	Egernia_cunninghami,Egernia_hosmeri,Egernia_mcpheei,Egernia_rugosa,Egernia_s.stokesii,Egernia_s.zellingi,Egernia_saxatilis,Egernia_striolata	
27	4	1.308320	2416	48.320000	1.403084	0.980141	1.000000	2.402966	0.001002	0.000567	0.000650	0.001616	0.001033	0.000747	0.000912	0.000435	0.001311	0.000742	0.000851	0.002114	Egernia_hosmeri,Egernia_rugosa,Egernia_s.stokesii,Egernia_s.zellingi	
28	3	4.339092	2471	49.420000	0.933331	1.003503	1.000000	0.592885	0.000676	0.000557	0.000621	0.000371	0.003424	0.002478	0.003024	0.001444	0.002933	0.002417	0.002696	0.001608	Egernia_hosmeri,Egernia_s.stokesii,Egernia_s.zellingi	
29	2	2.803183	2565	51.300000	0.928015	0.990192	1.000000	0.710966	0.000671	0.000562	0.000616	0.000478	0.002212	0.001601	0.001954	0.000933	0.001882	0.001576	0.001725	0.001339	Egernia_s.stokesii,Egernia_s.zellingi	
30	1	6.928850	2549	50.980000	0.906353	0.995255	1.000000	0.395539	0.000657	0.000558	0.000615	0.000287	0.005468	0.003957	0.004829	0.002306	0.004554	0.003864	0.004263	0.001992	Egernia_s.stokesii	
31	1	6.928850	2556	51.120000	0.912380	1.003780	1.000000	0.405284	0.000662	0.000557	0.000619	0.000297	0.005468	0.003957	0.004829	0.002306	0.004588	0.003859	0.004289	0.002058	Egernia_s.zellingi	
